id,user_id,leave_type_id,start_date,end_date,status,reason,created_at
1,2,3,2024-04-07,2025-06-01,pending,With light film always space personal.,2022-11-13 02:04:45
2,10,4,2024-06-28,2025-04-08,rejected,Though wish administration one result senior prove.,2021-11-15 09:08:48
3,5,5,2025-02-17,2025-04-28,pending,Type security story involve after green.,2023-11-17 07:43:53
4,8,4,2024-12-05,2025-09-23,pending,Kid artist economy reach lead.,2024-06-08 06:24:16
5,8,3,2025-02-10,2026-01-28,pending,Wrong outside task few.,2023-01-09 13:17:47
6,8,2,2024-11-04,2026-01-24,pending,School remain star head.,2020-10-08 09:53:40
7,4,5,2024-04-01,2026-02-11,rejected,Floor difference none rock Congress.,2022-10-18 18:39:08
8,9,4,2024-06-30,2025-12-18,pending,Actually science authority base college range life strategy.,2024-05-22 02:27:44
9,9,3,2024-12-23,2026-02-26,pending,Last class along design.,2021-09-23 09:29:42
10,6,4,2024-10-31,2025-04-03,approved,When choice feel husband.,2024-01-31 11:54:08
11,8,4,2025-03-23,2025-03-29,rejected,Defense you trouble turn.,2024-05-16 16:47:57
12,6,1,2024-12-30,2025-06-22,pending,Him above offer mouth base low sing.,2023-02-07 06:14:34
13,3,1,2024-06-01,2025-12-15,rejected,Sport around per.,2021-02-09 00:13:55
14,8,5,2024-08-15,2025-07-18,pending,Sure traditional entire question care series.,2024-07-16 14:49:28
15,4,3,2024-04-26,2025-12-29,pending,Because but animal against foreign class.,2023-06-30 02:29:37
16,6,5,2024-09-17,2025-11-05,pending,By up entire under.,2024-10-02 05:58:14
17,8,3,2025-03-22,2025-04-25,pending,Model girl radio.,2025-03-10 15:56:07
18,8,5,2025-03-03,2025-09-24,approved,High sit former smile stay arm.,2023-11-03 03:29:44
19,3,1,2024-05-01,2026-03-23,rejected,Before carry growth same.,2020-01-29 21:15:58
20,9,1,2024-11-24,2025-11-16,rejected,Sign exist son career natural head.,2025-02-27 09:07:16
